Date,Percentage of known parents
2020-03-13,40
2020-03-12,33.333333333333336
2020-03-17,36.36363636363637
2020-03-18,28.571428571428573
2020-03-19,26.666666666666668
2020-03-21,25
2020-03-22,24
2020-03-23,21.21212121212121
2020-03-24,19.51219512195122
2020-03-25,19.607843137254903
2020-03-26,20
2020-03-27,20.3125
2020-03-28,30.263157894736842
2020-03-29,27.710843373493976
2020-03-30,27.272727272727273
2020-03-31,27.722772277227723
2020-04-01,28.181818181818183
2020-04-02,27.419354838709676
2020-04-03,26.5625
2020-04-04,26.38888888888889
2020-04-05,25.165562913907284
2020-04-06,25.766871165644172
2020-04-07,26.857142857142858
2020-04-08,27.07182320441989
2020-04-09,29.949238578680202
2020-04-10,32.85024154589372
2020-04-11,35.348837209302324
2020-04-12,35.775862068965516
2020-04-13,38.8663967611336
2020-04-14,40.38461538461539
2020-04-15,39.784946236559136
2020-04-16,42.53968253968254
2020-04-17,48.467966573816156
2020-04-18,51.302083333333336
2020-04-19,51.282051282051285
2020-04-20,53.431372549019606
2020-04-21,53.588516746411486
2020-04-22,54.09836065573771
2020-04-23,55.73033707865169
2020-04-24,56.32911392405063
2020-04-25,58.2
2020-04-26,58.4493041749503
2020-04-27,58.59375
2020-04-28,59.08221797323136
2020-04-29,59.737827715355806
2020-04-30,60.88495575221239
2020-05-01,61.62988115449915
2020-05-02,62.229617304492514
2020-05-03,62.05211726384365
2020-05-04,63.287250384024574
2020-05-05,63.7444279346211
2020-05-06,64.64646464646465
2020-05-07,64.53900709219859
2020-05-08,65.86985391766268
2020-05-09,66.37279596977329
2020-05-10,63.20754716981132
2020-05-11,63.225058004640374
2020-05-12,60.54054054054054
2020-05-13,59.43691345151199
2020-05-14,58.96656534954408
2020-05-15,56.628787878787875
2020-05-16,56.86813186813187
2020-05-17,54.92589363557106
2020-05-18,52.247191011235955
2020-05-19,48.31541218637993
2020-05-20,46.92202462380301
2020-05-21,43.8006230529595
2020-05-22,40.79173838209983
2020-05-23,37.00867789688617
2020-05-24,35.13642891335567
2020-05-25,34.097158570119156
2020-05-26,33.026719229084534
2020-05-27,31.596360628618694
2020-05-28,30.47769443347809
2020-05-29,28.01150665228335
2020-05-30,27.378507871321013
2020-05-31,25.178515988823346
2020-06-01,23.97300469483568
2020-06-02,21.891464699683876
2020-06-03,20.6989908934285
2020-06-04,21.50462962962963
2020-06-05,19.462254395036194
2020-06-06,18.223671590255133
2020-06-07,17.828319882611886
2020-06-08,17.256944444444443
2020-06-09,17.243708832967403
2020-06-10,17.16603211388843
2020-06-11,16.909527622097677
2020-06-12,17.863720073664826
2020-06-13,17.73153575615475
2020-06-14,17.785714285714285
2020-06-15,17.82892000554554
2020-06-16,17.87516600265604
2020-06-17,17.933798810447374
2020-06-18,18.40382678751259
2020-06-19,18.476029465040455
2020-06-20,19.075543290789927
2020-06-21,19.3224043715847
2020-06-22,19.502074688796682
2020-06-23,19.823063470836335
2020-06-24,19.895236212690254
2020-06-25,20.189393939393938
2020-06-26,20.218082689686508
2020-06-27,18.661410718778832
2020-06-28,16.87642153146323
2020-06-29,15.571878279118573
2020-06-30,15.890303109828107
2020-07-01,16.137822453675668
2020-07-02,15.985790408525755
2020-07-03,15.636732623033993
2020-07-04,15.295373335189568
2020-07-05,15.191275453693448
2020-07-06,15.452067780542718
2020-07-07,15.59201939213127
2020-07-08,15.576410291927832
2020-07-09,15.402668381289182
2020-07-10,14.336585073912262
2020-07-11,14.007620941020543
2020-07-12,13.093736323147027
2020-07-13,12.230959767212562
2020-07-14,11.537065602032483
2020-07-15,10.760605098910398
2020-07-16,9.889383541670718
2020-07-17,9.225272931703602
2020-07-18,8.015062708766623
2020-07-19,7.472420935117587
2020-07-20,7.139749940361758
2020-07-21,6.71629969903374
